cn.danatech.xingseus.apk: Total: 17, decrypted: 0, Quota: 0%
com.blondeagames.art.coloring.book.apk: Total: 8, decrypted: 4, Quota: 50%
com.calendar.wom.apk: Total: 3, decrypted: 0, Quota: 0%
com.coinbase.android: Total: 46, decrypted: 1, Quota: 2%
com.darden.mobile.longhornsteakhouse.apk: Total: 10, decrypted: 1, Quota: 10%
com.devsense.symbolab.apk: Total: 7, decrypted: 2, Quota: 29%
com.gps.maps.me.city.navigation.metro.transit.navigation.live.traffic.weather: Total: 22, decrypted: 2, Quota: 9%
com.grubhub.android.apk: Total: 18, decrypted: 9, Quota: 50%
com.jimmyjohns.apk: Total: 9, decrypted: 3, Quota: 33%
com.jpgroup.pocketsniper.apk: Total: 6, decrypted: 1, Quota: 17%
com.kocogames.wartroops1917: Total: 9, decrypted: 0, Quota: 0%
com.koushikdutta.cast.apk: Total: 5, decrypted: 2, Quota: 40%
com.krispykreme.HotLights.apk: Total: 6, decrypted: 3, Quota: 50%
com.launcher.smart.android.apk: Total: 6, decrypted: 3, Quota: 50%
com.ninjakiwi.bloonstdbattles.apk: Total: 8, decrypted: 4, Quota: 50%
com.nomonkeys.ballblast: Total: 36, decrypted: 14, Quota: 39%
com.os.falcon.bob2.adventure.world.apk: Total: 61, decrypted: 5, Quota: 8%
com.playcus.findthedifferences2.apk: Total: 21, decrypted: 9, Quota: 43%
com.riotgames.legendsofruneterra: Total: 13, decrypted: 2, Quota: 15%
com.rmg.hotelteam: Total: 27, decrypted: 7, Quota: 26%
com.sgiggle.production.apk: Total: 26, decrypted: 13, Quota: 50%
com.stubhub: Total: 3, decrypted: 1, Quota: 33%
com.textmeinc.textme: Total: 20, decrypted: 0, Quota: 0%
com.topultragame.slotlasvega: Total: 34, decrypted: 12, Quota: 35%
com.tripledot.blackjack: Total: 7, decrypted: 3, Quota: 43%
com.tripledot.woodoku: Total: 12, decrypted: 4, Quota: 33%
